0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.11725999999999999,0.88274,0.88274,0.88274,0.88274,0.88274,0.11725999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.26133,0.7386699999999999,0.7386699999999999,0.7386699999999999,0.7386699999999999,0.7386699999999999,0.26133,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.05575499999999999,0.94424,0.94424,0.94424,0.94424,0.94424,0.05575499999999999,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.026866,0.9731299999999999,0.9731299999999999,0.9731299999999999,0.9731299999999999,0.9731299999999999,0.026866
0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.74533,0.74533,0.74533,0.74533,0.74533,0.25467,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.14374,0.85626,0.85626,0.85626,0.85626,0.85626,0.14374,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.016387,0.98361,0.98361,0.98361,0.98361,0.98361,0.016387
0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.24593,0.75407,0.75407,0.75407,0.75407,0.75407,0.24593,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.13677,0.8632299999999999,0.8632299999999999,0.8632299999999999,0.8632299999999999,0.8632299999999999,0.13677,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.028525,0.9714700000000001,0.9714700000000001,0.9714700000000001,0.9714700000000001,0.9714700000000001,0.028525
0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.25327,0.74673,0.74673,0.74673,0.74673,0.74673,0.25327,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.12955999999999998,0.87044,0.87044,0.87044,0.87044,0.87044,0.12955999999999998,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.041138,0.95886,0.95886,0.95886,0.95886,0.95886,0.041138
0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.021533,0.9784700000000001,0.9784700000000001,0.9784700000000001,0.9784700000000001,0.9784700000000001,0.021533,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.15549000000000002,0.84451,0.84451,0.84451,0.84451,0.84451,0.15549000000000002,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.045705,0.95429,0.95429,0.95429,0.95429,0.95429,0.045705
0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.02632,0.9736799999999999,0.9736799999999999,0.9736799999999999,0.9736799999999999,0.9736799999999999,0.02632,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.1639,0.8361,0.8361,0.8361,0.8361,0.8361,0.1639,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.055555999999999994,0.94444,0.94444,0.94444,0.94444,0.94444,0.055555999999999994
0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.031322,0.9686799999999999,0.9686799999999999,0.9686799999999999,0.9686799999999999,0.9686799999999999,0.031322,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.17257,0.8274299999999999,0.8274299999999999,0.8274299999999999,0.8274299999999999,0.8274299999999999,0.17257,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.06565900000000001,0.93434,0.93434,0.93434,0.93434,0.93434,0.06565900000000001
0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.036487,0.9635100000000001,0.9635100000000001,0.9635100000000001,0.9635100000000001,0.9635100000000001,0.036487,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.18145999999999998,0.8185399999999999,0.8185399999999999,0.8185399999999999,0.8185399999999999,0.8185399999999999,0.18145999999999998,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.076059,0.92394,0.92394,0.92394,0.92394,0.92394,0.076059
0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.041926,0.9580700000000001,0.9580700000000001,0.9580700000000001,0.9580700000000001,0.9580700000000001,0.041926,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.19064,0.8093600000000001,0.8093600000000001,0.8093600000000001,0.8093600000000001,0.8093600000000001,0.19064,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.086688,0.9133100000000001,0.9133100000000001,0.9133100000000001,0.9133100000000001,0.9133100000000001,0.086688
